date,population,admission,release
2020-08-06,94968.38209803727,2355.152981254311,2416.1354421871965
2020-08-07,94860.21781892258,2307.471163072493,2275.46877552053
2020-08-08,94950.7959640503,2353.2969206482503,1022.1104421871966
2020-08-09,95616.14077584467,1683.5764661027956,955.2771088538632
2020-08-10,96232.48558763908,1574.6219206482501,2490.94377552053
2020-08-11,95907.49706610013,2163.12192064825,2856.2469501237047
2020-08-12,96038.61965567229,2989.169539695869,2189.404092980847
2020-08-13,96123.78986429206,2274.5743016006313,2335.852144928899
2020-08-14,96123.87565732744,2335.937937964268,2269.0463978024627
2020-08-15,96247.34956362325,2392.5203040982733,1059.101953358018
2020-08-16,97019.04569214127,1833.4647485427176,1108.5286200246849
2020-08-17,97626.42182065932,1722.9047485427177,2678.445286691351
2020-08-18,97210.38128251067,2262.255939018908,2437.2138535996773
2020-08-19,97249.50748057096,2478.1178294377273,2309.134488520312
2020-08-20,97284.06225005978,2342.522591342489,2485.7178218536455
2020-08-21,97472.78368621529,2573.6007964706937,2318.201155186979
2020-08-22,97622.70512237081,2469.455924675822,1094.5344885203122
2020-08-23,98435.6265585263,1907.455924675822,1174.0344885203122
2020-08-24,98999.2146613485,1724.0003691202662,2700.6753894652456
2020-08-25,98639.58048492661,2342.641213043368,2521.0087227985787
2020-08-26,99038.27964183809,2920.6412130433678,2281.8534847033407
2020-08-27,99182.91594160668,2426.48978447194,2364.064595814452
2020-08-28,99369.50779693082,2550.656451138606,2517.9979291477853
2020-08-29,99355.56631892167,2501.6564511386064,1102.197929147785
2020-08-30,100264.1248409125,2013.5564511386065,1097.6645958144518
2020-08-31,100986.18336290332,1819.7231178052734,2858.3312624811188
2020-09-01,100509.57521822743,2381.7231178052734,2732.6694267323264
2020-09-02,100349.80040688493,2580.778673360828,2564.172532322388
2020-09-03,100358.93210347893,2573.3042289163836,2655.835323020063
2020-09-04,100310.21496286363,2609.1065544977796,2666.473695113086
2020-09-05,100267.04782224832,2624.2065544977795,1165.3736951130861
2020-09-06,101013.880681633,1912.2065544977795,1142.2736951130862
2020-09-07,101529.06354101772,1657.4565544977797,1087.8451236845149
2020-09-08,102175.5321146881,1734.3136973549222,2973.395123684515
2020-09-09,101639.4506883585,2437.3136973549226,2719.828457017848
2020-09-10,101443.93592869559,2524.3136973549226,2659.056234795626
2020-09-11,101341.13783569932,2557.7581417993665,2445.056234795626
2020-09-12,101347.83974270307,2453.0914751327005,1103.5562347956259
2020-09-13,102188.70831637346,1942.5581417993667,1072.812645052036
2020-09-14,102824.52560799263,1705.1530135942385,2828.7976267370177
2020-09-15,102333.75718532602,2338.929204070429,2625.030960070351
2020-09-16,102221.82209599277,2513.095870737096,2600.530960070351
2020-09-17,102003.38700665953,2382.095870737096,2596.530960070351
2020-09-18,101913.45191732628,2506.095870737096,2539.141216480607
2020-09-19,101796.1950331212,2423.7304861217112,1098.9873703267613
2020-09-20,102640.68814891618,1944.2304861217112,1093.6373703267614
2020-09-21,103251.27217380202,1704.2213952126203,2750.8040369934274
2020-09-22,102798.68953202122,2298.2213952126203,2582.8179258823166
2020-09-23,102607.09300135152,2391.2213952126203,2523.6141081060637
2020-09-24,102448.31441150044,2369.3127909822592,2537.8623485752723
2020-09-25,102256.15942511118,2345.7073621860354,2398.0290152419393
2020-09-26,102469.33777205531,2611.2073621860354,1146.529015241939
2020-09-27,103146.01611899938,1823.2073621860354,1105.6918059396137
2020-09-28,103692.26423338534,1652.9166645116168,2824.528199248467
2020-09-29,103195.17901443796,2327.4429803010903,2589.0281992484674
2020-09-30,102997.0937954906,2390.9429803010903,2795.2281992484673
2020-10-01,102889.60857654324,2684.97374953186,2705.580014100282
2020-10-02,102687.83497930744,2505.7804428385534,2303.0465969945185
2020-10-03,102574.80491275495,2287.7215755029133,1134.751642055436
2020-10-04,103128.7748462024,1688.0549088362468,975.9183087221027
2020-10-05,103634.07811298323,1481.7415755029133,2426.3067935705876
2020-10-06,103284.75289491557,2075.9815755029135,2442.973460237254
2020-10-07,103096.09434351455,2254.3149088362466,2260.973460237254
2020-10-08,103106.43579211357,2271.3149088362466,2314.973460237254
2020-10-09,103040.77724071253,2247.3918319131694,2112.1067935705873
2020-10-10,103180.86868931152,2253.8649088362467,1038.6901269039208
2020-10-11,103794.2101379105,1652.69824216958,992.1067935705873
2020-10-12,104321.8015865095,1493.5982421695805,1955.319590601061
2020-10-13,104213.10095433812,1864.4964268731771,2530.109296149742
2020-10-14,103891.08788815264,2252.8740620897106,2576.790043956815
2020-10-15,103465.19538934306,2152.2808784805693,2214.3400439568154
2020-10-16,103430.21955720017,2180.697545147236,2401.574892441664
2020-10-17,103107.00887657239,2078.364211813903,1073.0485766521906
2020-10-18,103583.63152927795,1548.337896024429,913.715243318857
2020-10-19,104126.25418198355,1456.7712293577626,2237.8596877633017
2020-10-20,103911.21016802244,2022.8156738022064,2292.4013544299687
2020-10-21,103749.957820728,2129.14900713554,2210.039285464451
2020-10-22,103818.64187694236,2280.156692695594,2320.981867250481
2020-10-23,103723.95721520798,2226.2972055161067,2301.512170280784
2020-10-24,103736.66649286753,2315.2062964251977,1075.4970187656327
2020-10-25,104257.87577052714,1596.7062964251977,1013.4970187656327
2020-10-26,104664.08504818668,1419.7062964251982,2539.9835052521184
2020-10-27,104136.51955107148,2012.4180081369095,2324.483505252119
2020-10-28,103838.95405395627,2026.9180081369095,2369.064060807674
2020-10-29,103529.5968901744,2059.7068970257983,2334.0034547470686
2020-10-30,103180.85877401155,1987.9926113115125,2190.730727474341
2020-10-31,103130.1206578487,2139.9926113115125,1031.1215320720428
2020-11-01,103670.70054934874,1572.6841821927387,966.9042906927323
2020-11-02,104266.38044084876,1561.6341821927385,2320.1709573593985
2020-11-03,103861.89366568209,1914.4508488594056,2058.3376240260654
2020-11-04,103675.90689051544,1873.8508488594052,2071.3376240260654
2020-11-05,103552.9201153488,1947.8508488594057,2236.004290692732
2020-11-06,103546.81429256305,2229.8984679070245,2254.4209573593985
2020-11-07,103506.20846977734,2213.815134573691,1031.004290692732
2020-11-08,104111.47764699163,1636.2734679070245,1016.204290692732
2020-11-09,104521.54682420594,1417.480319026919,2420.816943242129
2020-11-10,104093.17797515413,1993.3571850994313,2335.364923040109
2020-11-11,103876.53134832458,2118.7182962105426,1211.8649230401093
2020-11-12,104314.38472149501,1649.7182962105426,2245.864923040109
2020-11-13,104148.23809466546,2079.4182962105424,2342.164923040109
2020-11-14,103985.95813450254,2179.884962877209,1089.1649230401092
2020-11-15,104449.17817433963,1552.384962877209,945.4149230401092
2020-11-16,104859.02321417673,1354.5932962105426,2488.114923040109
2020-11-17,104212.5015873472,1841.5932962105426,2272.114923040109
2020-11-18,104027.9799605176,2087.5932962105426,2115.114923040109
2020-11-19,103767.45833368805,1849.742631571312,2467.1295357389326
2020-11-20,103453.5243399461,2151.3390826668547,2176.6518642875767
2020-11-21,103356.65095226478,2078.2784766062487,1038.8826335183458
2020-11-22,103867.61089791676,1552.6118099395824,952.6518642875765
2020-11-23,104270.5708435688,1347.8069318908022,2401.799919602122
2020-11-24,103855.31328314962,1906.0895289942837,2332.488598847405
2020-11-25,103368.44408751036,1841.5964703915827,2294.7864239981363
2020-11-26,102758.70736387797,1685.0497003657433,855.286423998137
2020-11-27,103053.47064024556,1150.0497003657433,1340.0364239981368
2020-11-28,103850.15058327983,2135.7830336990764,694.0811190691481
2020-11-29,104214.87020885377,1062.7481130641559,562.5284874902006
2020-11-30,104462.58983442775,807.2481130641557,2245.403092109611
2020-12-01,103883.3282865652,1659.5551806107103,2299.2943799883988
2020-12-02,103426.44552658148,1842.3761470316767,2082.870393501912
2020-12-03,103386.25420803916,1968.9429902031216,2192.350730613999
2020-12-04,103078.81139389837,1915.75806609068,2395.028524846489
2020-12-05,102959.09549513782,2237.9226388410425,1008.9950190830715
2020-12-06,103418.15737415505,1468.0568981003019,929.8700190830715
2020-12-07,103933.8442531723,1445.5568981003019,2508.5366857497384
2020-12-08,103292.86446552283,1867.5568981003016,2344.5366857497384
2020-12-09,102913.88467787342,1965.5568981003016,2307.0033524164055
2020-12-10,102524.43822355731,1918.0568981003016,2384.503352416405
2020-12-11,102227.99176924121,2088.0568981003016,2154.6144635275164
2020-12-12,102040.54531492513,1967.8346758780795,1076.141844479897
2020-12-13,102462.29528918043,1498.6918187352226,921.0668444798966
2020-12-14,102835.17026343578,1293.9418187352223,2371.1918444798966
2020-12-15,102268.42023769108,1808.4418187352223,2391.6918444798976
2020-12-16,101783.6702119464,1908.4418187352223,3070.104887958158
2020-12-17,100526.99710927869,1782.281241097757,2532.8319764011903
2020-12-18,99974.02039618624,1977.8812373347498,2378.753513197727
2020-12-19,99643.27988439253,2048.9505014040137,1007.7243465310606
2020-12-20,100278.83937259883,1643.2838347373472,957.8354576421717
2020-12-21,100838.39886080511,1516.6449458484583,2622.2516664333803
2020-12-22,100182.98765304069,1980.5904586689717,2398.791140117591
2020-12-23,99725.78697159208,1941.5904586689717,2215.648715875167
2020-12-24,99170.81962347681,1660.6813677598802,1463.9487158751665
2020-12-25,98897.45227536153,1193.2813677598804,667.9264936529446
2020-12-26,99267.08492724621,1037.559145537658,837.9264936529446
2020-12-27,99726.71757913091,1297.559145537658,752.4264936529446
2020-12-28,100332.85023101565,1355.6066899472714,2142.486798527246
2020-12-29,100025.14217767364,1824.1651088216136,1147.1258452974687
2020-12-30,100272.32233112487,1425.6471752192674,1190.4670217680568
2020-12-31,100456.50248457608,1374.6471752192676,1133.467021768057
2021-01-01,100812.18263802728,1489.1471752192674,1175.4670217680568
2021-01-02,101037.86279147847,1401.1471752192676,1111.467021768057
2021-01-03,101578.5429449297,1427.6205447844852,430.516976338576
2021-01-04,101798.15416385005,650.6281952589134,3099.1758062021795
2021-01-05,101001.68025474931,2449.5787815235703,2099.3384049100046
2021-01-06,100834.80753612476,1933.9656862854745,2302.005071576671
2021-01-07,101066.35148416692,2533.0490196188084,2603.2161826877827
2021-01-08,100737.89543220907,2274.7601307299196,2496.0328493544484
2021-01-09,100589.52271358455,2350.276797396586,1038.1495160211157
2021-01-10,101176.24090405092,1624.8677064874946,928.1839987797363
2021-01-11,101672.92461175866,1424.8677064874944,2451.0387683402937
2021-01-12,101318.78356062397,2116.8762809783843,2412.8506654464027
2021-01-13,101144.67584282263,2238.742947645051,2287.4876710961203
2021-01-14,101163.99044140546,2306.1186538597403,2395.606035474931
2021-01-15,101074.34794427874,2307.4585878531398,2370.2089281171366
2021-01-16,101346.205447152,2641.5664309903946,1102.5978170060255
2021-01-17,102118.56295002524,1874.9553198792833,1008.289483672692
2021-01-18,102626.59545289849,1516.32198654595,1109.1228170060256
2021-01-19,103079.12795577175,1561.6553198792833,2746.146626529835
2021-01-20,102659.08307769263,2326.1017484507124,2843.9799598631685
2021-01-21,102023.94729052261,2209.344172693137,2432.545619975528
2021-01-22,101646.18142927237,2318.4456474122376,2317.7115086624635
2021-01-23,101649.41556802216,2320.9456474122376,1071.0515086624634
2021-01-24,102304.72970677192,1727.3656474122374,1030.71817532913
2021-01-25,102735.37717885504,1461.3656474122372,2675.59317532913
2021-01-26,102110.14965093812,2050.3656474122376,2234.926508662463
2021-01-27,102091.62502157198,2216.4018792962956,2452.7598419957967
2021-01-28,101811.7253922058,2172.860212629629,2390.3059958419503
2021-01-29,101591.03409617294,2172.0185459629624,2359.4757150116698
2021-01-30,101617.74756204488,2387.615106809523,1069.4016409375954
2021-01-31,102261.46102791683,1713.115106809523,967.4016409375956
